Name,MBID,URL,Image (Small),Image
"Andrew Lloyd Webber","980ee2d8-2ee9-407b-b48e-48360fbc7437","https://www.last.fm/music/Andrew+Lloyd+Webber",true,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
"Cher Lloyd","48fbfb0b-92ee-45eb-99c2-0bde4c05962e","https://www.last.fm/music/Cher+Lloyd",true,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
"Lloyd","e9296a90-9c59-4657-9165-1f1b5319de00","https://www.last.fm/music/Lloyd",true,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
"Lloyd Banks","8a6ccf62-b8fa-46d7-87df-f2dd14e6280d","https://www.last.fm/music/Lloyd+Banks",true,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
"Dennis Lloyd",Data unavailable,"https://www.last.fm/music/Dennis+Lloyd",true,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
"Lloyd Cole and The Commotions","7451c6e2-02f0-4158-904c-7f477683ce5e","https://www.last.fm/music/Lloyd+Cole+and+The+Commotions",true,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
"Lloyd Cole","09cbb94a-c594-4674-8255-87112032a751","https://www.last.fm/music/Lloyd+Cole",true,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
"Lloyd Vaan",Data unavailable,"https://www.last.fm/music/Lloyd+Vaan",true,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
"J Lloyd",Data unavailable,"https://www.last.fm/music/J+Lloyd",true,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
"Lloyd Price","d047ee24-6fac-401a-8769-34edbda52113","https://www.last.fm/music/Lloyd+Price",true,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
"Charles Lloyd","b9b579ad-e499-4e3e-9d09-06bc8e504135","https://www.last.fm/music/Charles+Lloyd",true,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
"Alex Lloyd","a99af284-6342-4609-952a-89b02a600615","https://www.last.fm/music/Alex+Lloyd",true,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
"Scott Lloyd Shelly","46b51b9c-5e12-437f-942b-706aab80d378","https://www.last.fm/music/Scott+Lloyd+Shelly",true,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
"Lloyd P-White",Data unavailable,"https://www.last.fm/music/Lloyd+P-White",true,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
"John Lloyd Young","336b33e1-8fa6-40b6-af54-7b06981846a3","https://www.last.fm/music/John+Lloyd+Young",true,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
